image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8888012516868661,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9110866670859143,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8986573957542247,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9397059788261204,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8999642585101905,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9077387016587621,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8974336605586061,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8720507258386886,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9045039033015954,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8712599812279592,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9075515764923436,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9128683739219351,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8939262978768895,13
"WBA0027X=WBA0027X=1=en, ja=High",0.897487689773428,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8753904265076756,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9018985669256298,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9036142986179299,17
