image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8968575045116317,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8943041954297039,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9230966601236733,3
"WBB0014X=WBB0014X=1=en, ja=High",0.934433926869939,4
"WBB0015X=WBB0015X=1=en, ja=High",0.907270141926959,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9059262377825441,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9382851575103259,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9065218777916529,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9165453889956396,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9062105073009405,10
"WBA0025X=WBA0025X=1=en, ja=High",0.911634590371444,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9119814859961075,12
"WBA0012X=WBA0012X=1=en, ja=High",0.900565624975545,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8818193776780693,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8840815025468228,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8893998128225297,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9088833886877786,17
