image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.9157421018891114,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8759008642734283,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9150086418483218,3
"WBB0014X=WBB0014X=1=en, ja=High",0.912835591793635,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9107043457008642,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9212378991459051,6
"WBC0074X=WBC0074X=1=en, ja=High",0.923086466684505,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9000227436025882,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9306458783216479,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9031169902480772,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8999130749023544,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9148424472240607,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9055529743249822,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8932879133192466,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9024533534545075,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8812749737812996,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9074386039417367,17
