image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9259391651452588,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8862904879303903,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9253164659980782,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9497983491512115,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9162439080397159,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9600714401826697,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9554445184838093,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9383051054796091,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9442810298429507,9
"WBS0027X=WBS0027X=1=en, ja=High",0.919849413604653,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9058413842189873,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9274035258343468,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9102006205743877,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8880013279827389,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9037320954266033,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8784606385561555,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9181163393384248,17
