image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9108049687260513,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9130312619192203,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9058814623419209,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9355478488965876,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9129880812626853,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9408992704321065,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9029787996176768,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9100400730414997,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9257202759702204,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8983162246609652,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9002802705695554,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9164220835847121,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8836574360615458,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9068621251147027,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8920198174569371,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8886223400972788,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9317318179489252,17
