image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.9055204432581445,1
"WBS0033X=WBS0033X=1=en, ja=High",0.9000676899356106,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9024470366638468,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9129212422975446,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9292419335882811,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9078092866054057,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8985146510063389,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9122953381554012,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9115099251748868,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9084867789054449,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9027165560610468,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9110783794839606,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8922798912141552,13
"WBA0027X=WBA0027X=1=en, ja=High",0.9123897159584158,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8834570403709386,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8588730322188628,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9287470538253222,17
