image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.2504815347033993,1
"WBS0033X=WBS0033X=1=en, ja=High",0.28292483764261445,2
"WBS0022X=WBS0022X=1=en, ja=High",0.2727992238562091,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3216659619366193,4
"WBB0015X=WBB0015X=1=en, ja=High",0.34668186889478836,5
"WBD0022X=WBD0022X=1=en, ja=High",0.3069738901804611,6
"WBC0074X=WBC0074X=1=en, ja=High",0.3057802494101787,7
"WBG0037X=WBG0037X=1=en, ja=High",0.20041318686184026,8
"WBS0024X=WBS0024X=1=en, ja=High",0.43665720328502067,9
"WBS0027X=WBS0027X=1=en, ja=High",0.34965521093784274,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3398234717731968,11
"WBA0026X=WBA0026X=1=en, ja=High",0.3053090678396027,12
"WBA0012X=WBA0012X=1=en, ja=High",0.35972457945272307,13
"WBA0027X=WBA0027X=1=en, ja=High",0.42416398868711125,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3273953741290411,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3466760173014868,16
"WBC0045X=WBC0045X=1=en, ja=High",0.36959912104093445,17
