image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.2909452998655986,1
"WBS0033X=WBS0033X=1=en, ja=High",0.34927794873135637,2
"WBS0022X=WBS0022X=1=en, ja=High",0.43217078511104157,3
"WBB0014X=WBB0014X=1=en, ja=High",0.28565686157604636,4
"WBB0015X=WBB0015X=1=en, ja=High",0.313259672223488,5
"WBD0022X=WBD0022X=1=en, ja=High",0.4369121056046691,6
"WBC0074X=WBC0074X=1=en, ja=High",0.29532389240123047,7
"WBG0037X=WBG0037X=1=en, ja=High",0.3004638967902876,8
"WBS0024X=WBS0024X=1=en, ja=High",0.44298662200045735,9
"WBS0027X=WBS0027X=1=en, ja=High",0.37733189596227223,10
"WBA0025X=WBA0025X=1=en, ja=High",0.4954769822572873,11
"WBA0026X=WBA0026X=1=en, ja=High",0.4874065887414898,12
"WBA0012X=WBA0012X=1=en, ja=High",0.47023080877718176,13
"WBA0027X=WBA0027X=1=en, ja=High",0.41887633526965834,14
"WBA0028X=WBA0028X=1=en, ja=High",0.5005170748360075,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3132966774875123,16
"WBC0045X=WBC0045X=1=en, ja=High",0.44468857863854894,17
