image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.8775135883430142,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8592946897676652,2
"WBS0022X=WBS0022X=1=en, ja=High",0.8629898919288216,3
"WBB0014X=WBB0014X=1=en, ja=High",0.919401432954573,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9147653278592195,5
"WBD0022X=WBD0022X=1=en, ja=High",0.8676515918507497,6
"WBC0074X=WBC0074X=1=en, ja=High",0.8830858808957571,7
"WBG0037X=WBG0037X=1=en, ja=High",0.8846052360866937,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8886250996346253,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9020490262107217,10
"WBA0025X=WBA0025X=1=en, ja=High",0.8620394709274979,11
"WBA0026X=WBA0026X=1=en, ja=High",0.885586980013512,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8695478811363664,13
"WBA0027X=WBA0027X=1=en, ja=High",0.898661184001412,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8711287327528119,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8382952497326984,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8877712460830227,17
