id,image_name,score,gt_qa_id,m_qa_id
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8842692703202069,1,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8901349881586016,1,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8888427322741903,1,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9120343057029963,1,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9342205635298317,1,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8729099509490463,2,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8866343991973592,2,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.881599431657677,2,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9078408231303238,2,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.929123418750277,2,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8747874162275009,3,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8915121712532812,3,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8920729155493501,3,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.909143191015207,3,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8980118699266895,3,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8740586629894509,4,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8822260604104784,4,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8885969969355128,4,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.900047228024448,4,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9124551677575359,4,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8733350780973688,5,1
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8942403485738265,5,2
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8895458095597036,5,3
1,"WBS0038X=WBS0038X=1=en, ja=High",0.9183118286303934,5,4
1,"WBS0038X=WBS0038X=1=en, ja=High",0.921067678476438,5,5
1,"WBS0038X=WBS0038X=1=en, ja=High",0.8993605556302753,6,1
