image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8982624201615176,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8660484242060503,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9025512533026979,3
"WBB0014X=WBB0014X=1=en, ja=High",0.8651827976335772,4
"WBB0015X=WBB0015X=1=en, ja=High",0.8642472758911331,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9050300669997526,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9046762990342516,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9194831555459867,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9064132519381393,9
"WBS0027X=WBS0027X=1=en, ja=High",0.8986118117253563,10
"WBA0025X=WBA0025X=1=en, ja=High",0.892729847949048,11
"WBA0026X=WBA0026X=1=en, ja=High",0.8616705015764906,12
"WBA0012X=WBA0012X=1=en, ja=High",0.8720810906872437,13
"WBA0027X=WBA0027X=1=en, ja=High",0.7458663699108148,14
"WBA0028X=WBA0028X=1=en, ja=High",0.879940555191883,15
"WBB0061X=WBB0061X=1=en, ja=High",0.863081421671254,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8914415384661979,17
